ano,mes,temp_media,temp_max,precip_total,rad_media,dias_chuva,produtividade
2019,1,25.09032258064516,27.95,178.99,20.876129032258063,18,4439.10144112187
2019,2,25.35607142857143,27.46,203.12,19.442857142857143,22,4069.1743840732543
2019,3,24.70258064516129,26.12,172.57999999999998,19.030322580645162,21,4934.402588304431
2019,4,24.982666666666667,25.94,87.18,18.778000000000002,13,5669.965868391843
2019,5,26.27774193548387,28.58,8.02,18.480645161290322,2,5510.625019011382
2019,6,26.163333333333334,27.97,2.17,19.086000000000002,1,5730.588453504655
2019,7,26.65225806451613,29.22,0.5800000000000001,20.02806451612903,0,5018.505206234833
2019,8,29.371290322580645,31.59,0.05,20.753225806451614,0,5034.237487090877
2019,9,31.322,34.04,11.379999999999999,20.711666666666666,4,4619.8940806930095
2019,10,27.260967741935485,29.36,182.61,20.026451612903223,24,4404.1227720495635
2019,11,26.241333333333333,29.06,161.48,20.878666666666668,16,5114.00533575517
2019,12,25.85,27.5,202.19,20.837419354838712,24,4364.301177773843
2020,1,25.521935483870966,27.36,129.33,19.76806451612903,26,5364.236464605467
2020,2,25.628620689655172,28.15,169.68,18.37551724137931,26,4771.063280543314
2020,3,25.29741935483871,26.7,143.48,18.903870967741934,28,5287.628459031176
2020,4,24.752333333333336,26.28,160.58,19.269000000000002,21,5073.533316029882
2020,5,23.80258064516129,25.6,39.71,18.27225806451613,4,5580.935356322775
2020,6,25.294333333333334,26.38,0.32,19.177,0,5209.736512567739
2020,7,26.336129032258064,28.02,4.960000000000001,20.34709677419355,1,5357.4337732180875
2020,8,28.442258064516132,31.37,0.03,22.129032258064516,0,4580.860208648057
2020,9,31.151999999999997,33.38,2.3499999999999996,20.743333333333332,1,4975.693518236019
2020,10,30.732580645161292,34.75,108.14,19.06,11,5128.773735834764
2020,11,27.918999999999997,31.22,90.33999999999999,21.431333333333335,12,5795.5847175632625
2020,12,26.993870967741934,30.28,128.22,19.81096774193548,22,5653.389998320567
2021,1,26.63741935483871,28.83,105.74,20.738064516129032,19,5546.310592206992
2021,2,25.488928571428573,28.86,312.83,18.23785714285714,20,500.0
2021,3,24.09967741935484,25.3,327.64,17.831935483870968,27,500.0
2021,4,24.232666666666667,25.46,79.04,19.119333333333334,18,5898.395868043057
2021,5,23.379354838709677,25.61,17.02,19.04516129032258,4,5534.35521139376
2021,6,24.839333333333336,26.26,6.92,18.462333333333333,2,5606.277688799048
2021,7,24.87548387096774,27.94,4.5600000000000005,20.930967741935483,1,5471.856989282418
2021,8,28.68322580645161,31.57,0.01,21.245806451612903,0,5060.388286494664
2021,9,30.295333333333335,32.73,53.55,20.467666666666666,8,5770.455830542549
2021,10,28.40064516129032,30.65,115.66,20.88258064516129,17,5585.589588673684
2021,11,25.09333333333333,27.26,250.98000000000002,18.291999999999998,28,2636.5650746024107
2021,12,24.734516129032258,26.0,360.44,17.469677419354838,30,500.0
2022,1,24.27548387096774,26.02,185.82999999999998,19.743870967741934,25,5103.536145969221
2022,2,24.348214285714285,26.08,277.28000000000003,18.921785714285715,22,1781.4120863692456
2022,3,24.385161290322582,25.46,318.36,19.169999999999998,27,500.0
2022,4,24.540333333333333,25.54,59.94,20.98966666666667,13,5979.288821170224
2022,5,21.761935483870968,24.74,7.370000000000001,20.001290322580644,2,5709.036532306485
2022,6,23.438666666666666,24.76,7.43,17.591,3,5437.19110310552
2022,7,25.370645161290323,26.88,0.15000000000000002,19.913225806451614,0,5399.116195901115
2022,8,27.356129032258064,29.93,3.72,19.618709677419353,2,4918.87525738682
2022,9,29.449666666666666,32.2,50.419999999999995,19.142,8,5538.181483266938
2022,10,27.203548387096774,29.92,203.42000000000002,19.13967741935484,23,3852.3601001999305
2022,11,25.734333333333332,28.57,122.61,22.288999999999998,17,5869.5689502767655
2022,12,24.416451612903224,26.13,281.52,17.328064516129032,29,1399.784024776908
2023,1,23.91516129032258,25.08,283.63,18.00225806451613,29,1462.0226826989272
2023,2,24.461071428571426,25.56,192.64000000000001,19.8825,25,4501.865819591491
2023,3,24.181290322580644,25.47,234.34,18.01322580645161,30,3337.656698008593
2023,4,24.476666666666667,25.51,84.92,19.006666666666668,15,5987.659448543567
2023,5,23.65806451612903,25.07,10.74,19.37548387096774,2,5569.504225886693
2023,6,23.650333333333332,25.56,14.31,17.853666666666665,3,5437.059108828743
2023,7,25.694193548387098,27.66,0.0,20.146129032258063,0,5233.695231986123
2023,8,29.29774193548387,31.68,17.63,19.02064516129032,2,4982.299241650174
2023,9,31.315,33.98,29.25,20.390333333333334,8,5201.021911535509
2023,10,30.531612903225806,32.89,118.61999999999999,21.352580645161293,12,5229.028020522908
2023,11,29.392666666666667,33.39,127.53,22.231333333333335,12,5458.579383772821
2023,12,29.175161290322578,31.53,136.42,22.108064516129033,17,5527.024445445983
